Indicators,Jun-20,May-20,Apr-20,Mar-20,Feb-20,Jan-20,Dec-19,Nov-19,Oct-19,Sep-19,Aug-19,Jul-19,Jun-19,May-19,Apr-19,Mar-19,Feb-19,Jan-19,Dec-18,Nov-18,Oct-18,Sep-18,Aug-18,Jul-18,Jun-18,May-18,Apr-18,Mar-18,Feb-18,Jan-18,Dec-17,Nov-17,Oct-17,Sep-17,Aug-17,Jul-17,Jun-17,May-17,Apr-17,Mar-17,Feb-17,Jan-17,Dec-16,Nov-16,Oct-16,Sep-16,Aug-16,Jul-16,Jun-16,May-16,Apr-16,Mar-16,Feb-16,Jan-16,Dec-15,Nov-15,Oct-15,Sep-15,Aug-15,Jul-15,Jun-15,May-15,Apr-15,Mar-15,Feb-15,Jan-15,Dec-14,Nov-14,Oct-14,Sep-14,Aug-14,Jul-14,Jun-14,May-14,Apr-14,Mar-14,Feb-14,Jan-14,Dec-13,Nov-13,Oct-13,Sep-13,Aug-13,Jul-13,Jun-13,May-13,Apr-13,Mar-13,Feb-13,Jan-13,Dec-12,Nov-12,Oct-12,Sep-12,Aug-12,Jul-12,Jun-12,May-12,Apr-12,Mar-12,Feb-12,Jan-12,Dec-11,Nov-11,Oct-11,Sep-11,Aug-11,Jul-11,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10,Jun-10,May-10,Apr-10,Mar-10,Feb-10,Jan-10
Online Retail Sales Accumulated($US),7339.702264,5725.694313,4374.956168,3159.408701,1954.179392,NaN,15152.89969,13533.00582,11730.07866,10437.44429,9177.032788,7976.97681,6863.65607,5507.003511,4338.087279,3189.322809,1992.772725,NaN,12835.70354,11499.41652,10052.95038,8947.810054,7866.241878,6821.200553,5816.07796,4658.93355,3675.701414,2753.195346,1748.856591,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Online Retail Sales Accumulated Growth Rate(%),1.0403668,0.641322,0.2422772,-0.1140128,-0.427548,NaN,2.351514,2.3657656,2.3372624,2.3942688,2.3942688,2.3942688,2.5367848,2.5367848,2.5367848,2.1804948,1.9382176,NaN,3.4061324,3.4346356,3.634158,3.847932,4.0189512,4.1757188,4.2897316,4.3752412,4.6175184,5.0450664,5.3158468,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Online Retail Sales in Goods Accumulated($US),6196.695441,4808.318821,3669.929516,2641.633821,1600.910731,NaN,12147.99258,10835.81927,9288.081255,8234.13268,7232.045678,6303.952983,5439.108888,4334.552882,3410.863931,2532.794352,1553.566916,NaN,10004.36667,8937.221115,7715.916001,6831.889253,5984.68864,5196.261624,4457.415926,3537.104604,2778.335168,2076.044824,1293.076171,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Online Retail Sales in Goods Accumulated Growth Rate(%),2.0379788,1.638934,1.2256376,0.8408444,0.427548,NaN,2.779062,2.8075652,2.8218168,2.921578,2.9643328,2.9785844,3.0783456,3.0925972,3.1638552,2.992836,2.779062,NaN,3.6199064,3.6199064,3.8051772,3.9476932,4.0759576,4.1472156,4.2469768,4.27548,4.4464992,4.9025504,5.0735696,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Online Retail Sales in Food Accumulated Growth Rate(%),5.5296208,5.273092,5.2303372,4.6602732,3.7624224,NaN,4.4037444,4.2184736,4.9595568,4.1187124,4.3609896,4.2612284,4.1757188,4.061706,3.8051772,3.5058936,2.8788232,NaN,4.8170408,5.1733308,5.1448276,6.2422008,6.0854332,5.9286656,6.0284268,6.0426784,6.3989684,6.626994,8.1661668,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Online Retail Sales in Clothing Accumulated Growth Rate(%),-0.4132964,-0.9691088,-1.710192,-2.1519916,-2.5795396,NaN,2.1947464,2.351514,1.0118636,2.6507976,2.8075652,2.9073264,3.0498424,3.0213392,3.3776292,2.7220556,2.2232496,NaN,3.135352,3.0213392,3.20661,3.3206228,3.3348744,3.4061324,3.4346356,3.5486484,3.990448,4.8312924,5.2445888,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Online Retail Sales in Necessities Accumulated Growth Rate(%),2.4655268,2.1234884,1.7671984,1.42516,1.06887,NaN,2.8218168,2.8218168,2.3657656,2.8930748,2.8788232,2.8788232,2.9785844,3.0213392,3.0213392,3.0355908,2.9643328,NaN,3.6911644,3.6769128,3.8764352,3.9476932,4.132964,4.2327252,4.3752412,4.3752412,4.4322476,4.7457828,4.7172796,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Total Retail Sales of Consumer Goods Current Period($US),4777.977164,4556.635565,4015.787345,3769.533948,NaN,NaN,5526.300177,5428.976001,5430.472419,4916.075168,4830.765091,4713.474423,4828.1713,4696.714541,4359.008628,4521.419861,NaN,NaN,5115.398046,5025.071405,5064.22055,4561.281586,4495.282427,4380.043989,4395.421466,4326.657496,4067.67742,4160.555098,NaN,NaN,4950.164996,4860.964231,4879.876104,4399.511675,4322.467525,4219.870257,4248.059922,4198.407347,3887.622706,3971.023069,NaN,NaN,4525.880612,4412.081586,4434.983907,3987.084622,3924.833634,3823.333738,3827.609218,3792.450521,3512.420833,3579.161076,NaN,NaN,4080.888654,3981.512247,4030.195712,3601.46483,3547.707794,3468.668421,3460.331235,3448.146117,3190.462937,3238.362565,NaN,NaN,3677.098071,3345.520345,3415.709475,3283.910678,3011.918892,2960.883913,3016.550662,3028.436497,2807.736219,2821.90231,NaN,NaN,3286.376205,2994.53194,3062.854111,2943.425703,2691.585679,2638.427211,2683.105977,2691.599931,2508.324355,2514.153259,NaN,NaN,2897.948847,2633.225377,2698.369441,2597.582126,2374.159792,2325.134288,2363.613608,2382.126437,2223.6914,2230.403903,NaN,NaN,2528.191085,2298.626312,2358.126742,2261.030592,2095.69778,2053.370528,2075.759792,2094.529149,1945.200884,1936.507408,1962.317056,2173.226484,2184.699022,1982.525824,2035.812557,1929.167834,1791.397617,1746.220045,1757.208028,1775.051032,1640.416166,1613.523397,1757.820847,1812.53274
Total Retail Sales of Consumer Goods Accumulated ($US),24549.2646,19771.28743,15214.65187,11198.86453,7429.330577,NaN,58666.56888,53140.26871,47711.29271,42280.82029,37364.74512,32533.96578,27820.50561,22992.33431,18295.60551,13936.59689,9415.177024,NaN,54296.72904,49181.33099,44156.25959,39092.03904,34530.75745,30035.47503,25655.43104,21260.02382,16933.36633,12865.68891,8705.133809,NaN,52198.13819,47247.97319,42387.02321,37507.13285,33107.63543,28785.16791,24565.29765,20317.23773,16118.83038,12231.20767,8260.184605,NaN,47360.34706,42834.5377,38422.45612,33987.47221,30000.38759,26075.55395,22252.20596,18424.59674,14632.14622,11119.72539,7540.564315,NaN,42887.45389,38806.55099,34825.03874,30794.84303,27193.3782,23645.6704,20177.00198,16716.685,13268.52463,10078.06169,6839.69913,NaN,37395.35756,33718.25948,30372.73914,26957.01541,23673.10473,20661.18584,17700.30193,14683.73702,11655.30052,8847.564299,6025.676241,NaN,33402.90008,30116.50962,27121.97768,24059.12357,21115.69787,18424.11219,15785.68498,13102.579,10410.97907,7902.654716,5388.501457,NaN,29524.56942,26626.62057,23993.39519,21295.02575,18697.44363,16323.28383,13998.14955,11634.53594,9252.4095,7028.718101,4798.314198,NaN,25827.57611,23299.38503,21000.75872,18642.63197,16381.60138,14285.9036,12232.53307,10156.77328,8062.244133,6117.043249,4135.54354,2173.226484,22026.37511,19841.67609,17859.15026,15823.33771,13894.16987,12102.77226,10356.55221,8599.344182,6824.29315,5183.876984,3570.353587,1812.53274
Total Retail Sales of Consumer Goods Growth Rate (The same period last year=100)(%),-0.2565288,-0.3990448,-1.06887,-2.2517528,NaN,NaN,1.140128,1.140128,1.0261152,1.1116248,1.06887,1.0831216,1.3966568,1.2256376,1.0261152,1.2398892,NaN,NaN,1.1686312,1.1543796,1.2256376,1.3111472,1.282644,1.2541408,1.282644,1.211386,1.3396504,1.4394116,NaN,NaN,1.3396504,1.4536632,1.42516,1.4679148,1.4394116,1.4821664,1.567676,1.5249212,1.5249212,1.5534244,NaN,NaN,1.5534244,1.5391728,1.42516,1.5249212,1.5106696,1.4536632,1.5106696,1.42516,1.4394116,1.496418,NaN,NaN,1.5819276,1.5961792,1.567676,1.5534244,1.5391728,1.496418,1.5106696,1.4394116,1.42516,1.4536632,NaN,NaN,1.6959404,1.6674372,1.638934,1.6531856,1.6959404,1.7386952,1.7671984,1.78145,1.6959404,1.7386952,NaN,NaN,1.9382176,1.9524692,1.8954628,1.8954628,1.9097144,1.8812112,1.8954628,1.8384564,1.8242048,1.7957016,NaN,NaN,2.1662432,2.1234884,2.066482,2.0237272,1.8812112,1.8669596,1.9524692,1.9667208,2.0094756,2.1662432,NaN,NaN,2.5795396,2.4655268,2.4512752,2.5225332,2.422772,2.4512752,2.5225332,2.4085204,2.4370236,2.4797784,1.6531856,2.8360684,2.7220556,2.6650492,2.6507976,2.6793008,2.6222944,2.5510364,2.6080428,2.6650492,2.636546,2.565288,3.1496036,1.995224
Total Retail Sales of Consumer Goods Accumulated Growth Rate (%),-1.6246824,-1.923966,-2.3087592,-2.707804,-2.921578,NaN,1.140128,1.140128,1.1543796,1.1686312,1.1686312,1.1828828,1.1971344,1.1543796,1.140128,1.1828828,1.1686312,NaN,1.282644,1.2968956,1.3111472,1.3253988,1.3253988,1.3253988,1.3396504,1.353902,1.3824052,1.3966568,1.3824052,NaN,1.4536632,1.4679148,1.4679148,1.4821664,1.4821664,1.4821664,1.4821664,1.4679148,1.4536632,1.42516,1.353902,NaN,1.4821664,1.4821664,1.4679148,1.4821664,1.4679148,1.4679148,1.4679148,1.4536632,1.4679148,1.4679148,1.4536632,NaN,1.5249212,1.5106696,1.5106696,1.496418,1.496418,1.4821664,1.4821664,1.4821664,1.4821664,1.5106696,1.5249212,NaN,1.710192,1.710192,1.710192,1.710192,1.7244436,1.7244436,1.7244436,1.7244436,1.710192,1.710192,1.6816888,NaN,1.8669596,1.852708,1.852708,1.8384564,1.8242048,1.8242048,1.8099532,1.7957016,1.78145,1.7671984,1.7529468,NaN,2.0379788,2.0237272,2.0094756,2.0094756,2.0094756,2.0237272,2.0522304,2.066482,2.0949852,2.1092368,2.0949852,NaN,2.4370236,2.422772,2.422772,2.422772,2.4085204,2.3942688,2.3942688,2.3657656,2.351514,2.3230108,2.2517528,2.8360684,2.6222944,2.6222944,2.6080428,2.6080428,2.5937912,2.5937912,2.5937912,2.5937912,2.5795396,2.5510364,2.5510364,1.995224
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
