"By commodity groups","By sales channel",2017. 01,2017. 02,2017. 03,2017. 04,2017. 05,2017. 06,2017. 07,2017. 08,2017. 09,2017. 10,2017. 11,2017. 12,2018. 01,2018. 02,2018. 03,2018. 04,2018. 05,2018. 06,2018. 07,2018. 08,2018. 09,2018. 10,2018. 11,2018. 12,2019. 01,2019. 02,2019. 03,2019. 04,2019. 05,2019. 06,2019. 07,2019. 08,2019. 09,2019. 10,2019. 11,2019. 12,2020. 01,2020. 02,2020. 03,2020. 04 p),2020. 05 p)
"Total","Total",7310479,7148849,7747011,7380795,7621719,7515130,7898554,7859658,8151143,7661802,8996978,8893647,9027008,8207296,9375766,9034274,9363224,8965075,9653420,9270381,9137279,10016442,10574144,10689701,10722987,9607307,11259178,10671636,11253413,10604209,11197264,11278634,11261479,11871192,12852096,12684652,12304762,11963252,12624728,12055233,12722071
"Total","Internet shopping",3390183,3298823,3585449,3304819,3359693,3341138,3404599,3395357,3585077,3247093,3781198,3582993,3689807,3300302,3869098,3628814,3686046,3507124,3709400,3499822,3524171,3773503,3986055,3934853,3910043,3397801,4154481,3945263,4067849,3709250,3951331,3983518,3977628,4109426,4434397,4349481,4081181,3850850,4138678,4024042,4027710
"Total","Mobile shopping",3920295,3850025,4161562,4075976,4262026,4173992,4493955,4464301,4566066,4414710,5215779,5310654,5337201,4906994,5506668,5405460,5677178,5457951,5944021,5770559,5613108,6242938,6588089,6754848,6812944,6209506,7104697,6726373,7185564,6894959,7245933,7295116,7283852,7761766,8417698,8335170,8223581,8112402,8486051,8031191,8694362
"Computers and computer-related appliances","Total",422384,475342,473351,368280,350923,376719,380974,416393,399512,353524,460739,475478,511674,453408,504061,409054,404235,371844,404250,418905,382179,419744,468166,501362,558184,540004,530200,466943,437182,386397,440060,444873,433036,442244,524269,550826,550217,616468,687759,645091,590076
"Computers and computer-related appliances","Internet shopping",288391,329143,322089,251604,241871,262908,252949,280831,270647,235350,302907,320177,324233,275786,310948,243815,237559,220404,239475,249200,226280,254118,275284,294467,327183,303189,311334,277452,261773,238393,268417,266496,258731,272099,303267,335880,310761,341426,387538,364833,345322
"Computers and computer-related appliances","Mobile shopping",133993,146200,151262,116675,109053,113811,128025,135562,128865,118174,157832,155301,187441,177621,193113,165240,166676,151440,164775,169705,155899,165626,192882,206895,231001,236815,218866,189491,175409,148005,171644,178377,174305,170145,221003,214947,239456,275042,300221,280258,244754
"Home electric appliances, electronic and telecommunication equipment","Total",602122,626874,667726,716708,861618,752474,926867,758482,706658,728407,948510,815267,858256,770401,946627,945259,1026133,963674,1188194,960593,792407,989521,1182355,1043945,1074831,1004697,1343708,1157347,1315707,1207535,1263648,1221816,1123198,1231229,1379205,1247059,1158549,1392368,1480356,1377532,1590990
"Home electric appliances, electronic and telecommunication equipment","Internet shopping",307496,328088,349185,366894,417717,366554,432760,359011,343507,333413,462529,387969,398999,351716,435766,420663,447810,424143,511557,424778,340868,429553,517411,470859,458968,412093,575140,532464,583662,494908,535805,520859,468783,533723,568971,527530,453498,563716,598541,576598,616614
"Home electric appliances, electronic and telecommunication equipment","Mobile shopping",294626,298786,318541,349814,443900,385920,494107,399471,363151,394994,485981,427298,459257,418685,510861,524596,578323,539531,676637,535814,451538,559968,664944,573086,615862,592604,768567,624883,732046,712627,727843,700957,654415,697506,810234,719530,705051,828652,881815,800934,974376
"Books","Total",151230,154330,185571,122418,114380,116272,143084,149989,136666,113732,132523,161681,171254,147783,191597,144169,129125,117353,148060,149224,128183,131744,142405,168500,175198,155592,198536,148837,134142,123125,157275,155439,148073,134624,148213,179658,172311,191346,255531,206282,175015
"Books","Internet shopping",103851,106649,126052,82291,78606,78615,95733,100090,88774,72439,87946,103589,107123,93094,121120,91304,81391,72096,90323,91948,77468,80587,86299,102843,100529,91282,116083,87343,78839,70902,90186,89615,82693,76178,84808,99859,89551,102463,135530,107760,95865
"Books","Mobile shopping",47379,47680,59519,40127,35774,37657,47351,49898,47891,41293,44577,58092,64132,54689,70476,52865,47734,45257,57737,57276,50715,51156,56107,65657,74669,64310,82453,61495,55303,52223,67088,65824,65380,58446,63405,79800,82761,88883,120001,98522,79151
"Office appliances and stationery","Total",53192,60403,70006,61954,57239,55970,53826,57751,60475,56321,67942,77865,72870,71721,81900,68006,63621,59557,62526,62271,58392,71115,76364,89744,81304,72566,83207,82392,73423,64636,70782,70328,70541,79759,86843,105177,82330,92639,92892,84058,82844
"Office appliances and stationery","Internet shopping",37233,41550,45751,41721,39428,37788,35743,38125,39683,37422,44129,50562,46397,46450,51251,41862,39157,36238,37606,37810,33529,41333,43264,50853,43578,38355,44868,45766,39252,33684,37248,37139,36132,39375,43917,51222,38971,42395,40492,37449,36799
"Office appliances and stationery","Mobile shopping",15959,18854,24255,20233,17810,18181,18084,19625,20792,18898,23812,27303,26473,25271,30649,26145,24464,23319,24920,24461,24862,29782,33099,38890,37726,34211,38339,36626,34170,30951,33533,33189,34409,40384,42925,53955,43359,50244,52399,46609,46045
"Clothing","Total",864515,827672,1042742,972647,978235,909742,887371,758225,959679,1034705,1443945,1195890,964236,825152,1163132,1078268,1101406,1017864,992332,828362,1003952,1350908,1482193,1390544,1083231,941522,1237582,1195036,1258478,1104651,1123294,892423,1164885,1394398,1679104,1421876,1039752,953547,1190084,1183237,1361166
"Clothing","Internet shopping",397422,382105,478990,441022,439084,394173,392273,338973,434408,439236,586462,458290,392385,336102,482845,447945,453370,410733,394750,326889,399362,493284,554222,509666,430287,366048,460068,451337,476694,417105,440791,330575,413067,487487,563217,490567,361615,329569,401539,417602,457706
"Clothing","Mobile shopping",467093,445567,563752,531625,539150,515569,495098,419251,525271,595469,857482,737601,571852,489051,680287,630323,648036,607131,597582,501473,604591,857624,927971,880877,652944,575474,777514,743699,781784,687546,682504,561848,751818,906911,1115887,931310,678137,623978,788545,765635,903460
"Footwear","Total",103798,118631,153293,151628,160562,156160,140746,118311,140246,140365,175549,154928,131568,124447,169117,169439,172582,164251,157952,125953,139473,164235,188387,179236,142026,139552,183252,181411,194146,183306,183481,149832,172919,184514,213626,193047,156648,164012,190802,193848,240457
"Footwear","Internet shopping",42529,44976,55799,54249,55797,54666,48228,40961,49838,47801,61475,52613,45709,40727,56004,55859,57571,55260,51664,38886,46884,50340,57508,54381,41551,37816,55526,57266,62138,60044,55103,46101,52287,57398,62934,62677,43977,48469,56286,61297,69934
"Footwear","Mobile shopping",61269,73655,97495,97379,104765,101494,92518,77350,90408,92565,114073,102315,85859,83720,113113,113580,115010,108990,106288,87067,92588,113895,130879,124855,100474,101736,127727,124145,132008,123262,128378,103730,120632,127116,150692,130370,112671,115543,134516,132550,170522
"Luggage","Total",143643,163204,168660,159399,152370,149442,151719,163461,165215,157007,169508,180854,186542,178154,194190,185469,190609,176525,192018,180739,176869,184737,180036,201321,197542,206771,224954,213655,220088,205683,204931,217284,222087,229576,226274,238378,204288,202851,213769,193121,218590
"Luggage","Internet shopping",43978,53127,54028,47250,45044,43903,44194,47640,48352,44345,49080,51051,51391,48277,50380,49197,48223,45187,50196,45336,41905,44515,43401,47722,45921,44757,48739,50399,50942,44154,50072,47372,47486,48766,49727,51145,46924,46011,44769,43257,45810
"Luggage","Mobile shopping",99665,110077,114633,112149,107327,105539,107525,115821,116864,112662,120428,129802,135151,129877,143810,136272,142386,131338,141822,135402,134965,140222,136635,153599,151621,162014,176215,163257,169146,161530,154858,169912,174601,180810,176547,187234,157364,156840,168999,149864,172780
"Fashion and accessories","Total",143439,146885,165677,165183,168702,162825,170035,178204,170345,161449,189580,206100,195299,178379,210147,196288,198073,189401,209945,194350,169357,182647,192160,220802,189295,183018,208883,210923,231013,212587,228780,209411,209177,203317,213278,239885,199470,182527,183647,168621,191700
"Fashion and accessories","Internet shopping",56669,58915,63045,59952,61938,61378,63749,67589,63340,57204,66076,69667,67231,60565,71766,64739,66788,64458,70239,67109,57332,58805,60670,69189,56361,55968,65032,71772,74957,64742,69124,63937,63908,61790,61634,68045,58220,54059,55639,53332,58897
"Fashion and accessories","Mobile shopping",86770,87970,102632,105230,106764,101447,106286,110615,107005,104244,123504,136433,128067,117814,138381,131549,131286,124943,139706,127241,112025,123842,131490,151613,132935,127049,143851,139151,156056,147845,159657,145474,145269,141527,151644,171841,141249,128468,128008,115289,132803
"Sports and leisure appliances","Total",201380,207110,257361,283154,292971,289069,292683,266351,265466,274798,313019,258250,230779,200710,283820,298574,330784,325017,360361,300229,304161,389324,373871,332875,270178,247512,326128,354460,401866,357467,384493,331124,338907,402078,411942,357133,284183,293888,365265,432056,487586
"Sports and leisure appliances","Internet shopping",104489,106163,128706,135380,138288,137585,133912,122467,124327,126699,141177,118429,104533,91209,123291,129065,137411,133562,145252,123519,126162,157246,150248,133187,108710,100987,137065,153538,165928,143727,157593,134451,136078,160161,156990,141810,113297,117446,135612,161432,175963
"Sports and leisure appliances","Mobile shopping",96891,100947,128655,147775,154683,151484,158771,143884,141138,148099,171843,139821,126246,109501,160529,169509,193374,191456,215110,176711,178000,232078,223624,199688,161468,146525,189063,200921,235938,213739,226899,196673,202829,241917,254951,215323,170885,176442,229654,270624,311623
"Cosmetics","Total",654145,729228,715294,583336,622853,652533,619456,652563,717116,677876,789224,703544,770908,746376,831653,802428,818526,772505,778966,801984,849617,894287,911566,873247,898316,861069,1023636,961714,989219,943868,984890,1037824,1101042,1155470,1234621,1190553,1127048,1049681,981864,960851,935992
"Cosmetics","Internet shopping",273399,300678,353850,251566,262428,274418,258757,280375,331282,311318,354520,290554,335960,316879,391775,363671,361374,333163,335961,342475,392815,401459,398730,352694,326699,300156,414794,382837,396137,374640,396202,432088,482897,501064,556145,491525,473776,429543,532733,594911,525803
"Cosmetics","Mobile shopping",380746,428550,361445,331769,360424,378115,360699,372187,385834,366559,434703,412990,434948,429497,439877,438758,457152,439341,443006,459509,456801,492829,512836,520553,571617,560913,608843,578876,593083,569228,588687,605736,618145,654405,678476,699028,653273,620138,449132,365941,410190
"Goods for infants and children","Total",259790,262204,300200,293596,274565,259069,264579,263530,272277,260541,299591,377236,295195,268618,298883,320420,310798,271934,287390,275805,273741,308862,310073,393574,308962,282611,333602,350290,342947,300768,315642,305971,321548,346080,357694,439184,339323,394738,415830,409808,412201
"Goods for infants and children","Internet shopping",76647,81434,95343,90564,76554,75478,72696,72846,75971,70801,84549,104274,75872,71246,84298,85677,85549,72371,72132,68243,68616,77542,79117,100708,73249,67637,78885,93504,86790,73314,79966,73192,77605,83349,82780,107934,76155,86034,88979,98366,90724
"Goods for infants and children","Mobile shopping",183143,180770,204856,203032,198011,183591,191882,190684,196306,189740,215042,272962,219323,197372,214584,234743,225249,199563,215258,207562,205124,231320,230956,292866,235713,214975,254717,256786,256157,227454,235676,232780,243943,262731,274914,331250,263168,308704,326851,311442,321477
"Food & beverages","Total",675851,573082,641671,652914,633354,641593,638176,692641,827851,608615,701590,709684,846822,814658,826873,810015,849044,811245,866906,905132,1000055,910407,927668,925608,1197086,867779,1026995,1059837,1108562,1041017,1089666,1213010,1231839,1185395,1195455,1212085,1416443,1481513,1631491,1516911,1475869
"Food & beverages","Internet shopping",281528,223285,249069,266606,239172,243369,233432,254664,316807,216216,253308,258055,286550,296445,292272,284398,295067,277793,298775,301451,350883,298644,306595,315251,402123,276044,331854,351462,366378,339741,359413,407924,409787,360277,356540,373503,414664,411253,442142,422650,398936
"Food & beverages","Mobile shopping",394322,349797,392601,386307,394181,398224,404744,437977,511044,392399,448282,451629,560272,518213,534601,525617,553977,533452,568131,603681,649172,611763,621073,610357,794963,591735,695141,708375,742184,701275,730254,805086,822052,825118,838915,838582,1001779,1070260,1189348,1094261,1076933
"Agriculture, livestock and fishery products","Total",259029,167546,194150,176139,175762,180848,182683,194090,288964,174780,208744,221852,251910,289778,228800,215400,221735,214272,224230,235082,310020,238060,256669,254558,395904,221292,265904,271458,269992,256778,267508,304892,357299,295901,308366,318909,469190,448870,517150,467692,416541
"Agriculture, livestock and fishery products","Internet shopping",116799,66964,72315,65812,63704,66113,64551,68512,122538,67310,76101,75792,83591,116806,76413,71138,73233,69204,74924,74292,126449,79931,85916,80784,138043,63695,81773,86283,83828,74977,78163,99212,121276,83049,88142,91314,167154,136818,137870,142328,111240
"Agriculture, livestock and fishery products","Mobile shopping",142230,100582,121835,110327,112058,114736,118131,125578,166426,107471,132643,146060,168319,172972,152387,144262,148502,145068,149306,160790,183571,158130,170752,173774,257860,157598,184131,185175,186165,181801,189344,205680,236023,212852,220224,227595,302036,312052,379280,325364,305301
"Household goods","Total",592310,607119,619493,575323,600558,597243,613589,631622,653743,602048,708613,681900,710430,636039,739338,709864,715962,687897,740180,714937,691804,788705,799848,787821,812097,740664,847601,800554,841121,792972,824476,851386,838149,884044,908524,904528,987952,1134360,1245446,1089338,1160685
"Household goods","Internet shopping",245410,252296,266119,246729,247892,246264,240315,245562,265245,227897,274287,264710,261059,234324,271316,272221,259687,245069,258839,244105,238866,272434,273645,271350,269593,257091,284988,287899,289420,262458,275324,281120,271838,283985,288130,293072,326706,332254,364418,344087,357504
"Household goods","Mobile shopping",346900,354823,353374,328595,352665,350978,373275,386060,388499,374151,434326,417191,449370,401715,468022,437644,456275,442828,481341,470832,452938,516271,526203,516470,542504,483573,562613,512655,551702,530514,549152,570265,566311,600059,620394,611456,661246,802106,881028,745251,803180
"Motor vehicles and motor vehicle parts & accessories","Total",80144,76677,81297,80513,87211,88191,94244,92700,86998,80475,89567,85223,77220,65502,83898,82601,84011,81252,91030,84879,78457,88244,98099,94668,95625,78913,105998,96346,105237,97677,96062,110450,168561,105358,157917,114251,112578,160198,210549,132376,142253
"Motor vehicles and motor vehicle parts & accessories","Internet shopping",34744,33549,37139,35727,38442,39538,41482,39414,36519,32422,39536,37716,31543,26428,36667,32750,32931,32724,35786,33296,30829,34981,42105,38056,34387,28416,42686,38122,42255,38420,37889,49705,93924,41295,91219,48715,47812,82482,123450,48391,48623
"Motor vehicles and motor vehicle parts & accessories","Mobile shopping",45400,43128,44158,44786,48770,48653,52762,53285,50478,48053,50031,47508,45677,39074,47231,49851,51080,48528,55245,51583,47628,53262,55994,56612,61238,50497,63312,58224,62982,59257,58173,60745,74637,64063,66698,65536,64766,77716,87099,83985,93630
"Furniture","Total",188602,219176,240688,206024,201440,203584,211657,226983,227801,223084,242170,220685,251892,241563,277056,260782,254665,243327,247840,244396,242257,296675,295741,280075,279933,269714,305141,283592,284614,268513,261562,274217,286636,319898,323744,318026,297049,364194,435242,404588,402095
"Furniture","Internet shopping",83204,96989,102935,88744,83217,84221,85175,90905,91966,85731,96351,88111,92737,89192,102507,95591,91504,89702,88726,86515,83475,102783,103195,98788,93641,86616,101626,96395,99694,89935,90115,89648,89180,97831,102094,100326,90350,113379,128858,123118,121274
"Furniture","Mobile shopping",105397,122186,137752,117279,118222,119363,126482,136077,135835,137353,145819,132574,159155,152372,174549,165191,163161,153625,159115,157881,158782,193892,192546,181287,186292,183098,203515,187197,184919,178578,171447,184569,197457,222067,221650,217700,206699,250815,306384,281470,280821
"Pet products","Total",53096,62005,65265,59383,56112,56092,58500,60590,66077,64491,72675,62280,72178,60944,68634,70338,69233,75126,75847,71481,66227,69666,68301,68077,71584,63859,71619,74272,75834,76382,76562,75856,80834,86880,84693,85215,84551,85229,91557,91087,91601
"Pet products","Internet shopping",22849,24296,25187,23609,22937,22732,22569,23065,24325,22728,25677,23206,24538,20227,22960,22363,22195,23474,21873,21450,18168,21100,19750,19851,19613,18935,20859,23037,23009,21180,21277,20954,24010,23916,22241,23449,21202,20800,23381,23440,22702
"Pet products","Mobile shopping",30247,37709,40078,35774,33175,33360,35931,37525,41752,41763,46998,39074,47640,40717,45674,47974,47039,51652,53975,50031,48060,48566,48551,48227,51971,44924,50760,51235,52825,55202,55284,54902,56824,62963,62452,61766,63349,64429,68177,67646,68899
"Travel arrangement and transportation services","Total",1215463,1110440,1072596,1134841,1181895,1210908,1379402,1406339,1222948,1207513,1157662,1278343,1491434,1246049,1264187,1320458,1429210,1413924,1568131,1560063,1265599,1329206,1296434,1396719,1506113,1381332,1345140,1359831,1452693,1441717,1606012,1625159,1315828,1433122,1440160,1568794,1541603,710501,363297,442878,558302
"Travel arrangement and transportation services","Internet shopping",603688,552472,510654,534384,574594,605089,643280,645755,538530,549027,518560,522992,685630,548038,569662,588518,632925,627024,668379,650988,515727,586580,548742,572556,609737,558043,550172,556915,581908,575561,619626,606180,492899,556266,561963,600621,567386,248663,106951,99346,124516
"Travel arrangement and transportation services","Mobile shopping",611775,557968,561942,600457,607302,605819,736121,760584,684418,658486,639102,755350,805804,698011,694525,731940,796285,786901,899752,909075,749872,742626,747692,824163,896376,823289,794968,802916,870785,866156,986386,1018979,822929,876856,878197,968173,974217,461838,256346,343532,433786
"Culture and leisure services","Total",164254,123892,138133,119599,133785,144311,151647,184883,127031,179505,145082,207050,182387,151838,171416,164965,153740,169621,164228,213527,183281,186480,187011,196749,163249,174886,181135,179770,174178,225380,195490,197185,153186,187668,197167,183440,159704,58635,20141,25528,48528
"Culture and leisure services","Internet shopping",94242,72901,88936,66084,76776,86509,82271,101624,74496,97818,65460,71778,64022,61442,96087,67870,61998,74968,63614,75356,73836,61376,73373,69403,63007,60965,78294,74688,71951,88964,73291,71852,65360,92515,74102,59852,55761,23570,6997,9744,17568
"Culture and leisure services","Mobile shopping",70012,50991,49197,53515,57009,57802,69376,83259,52535,81688,79622,135272,118365,90396,75329,97095,91742,94653,100614,138171,109445,125104,113638,127346,100242,113921,102841,105083,102227,136416,122199,125333,87826,95153,123065,123588,103943,35066,13144,15784,30961
"E-coupon services","Total",88648,80796,90149,84933,98613,95019,91627,100868,100399,96038,124328,150210,105594,129231,139594,133138,169050,165691,171906,180791,203876,202733,239185,267753,236089,230314,253530,222461,271802,256486,278475,304146,272024,296613,363386,338603,305722,324109,348562,334155,339676
"E-coupon services","Internet shopping",14216,11707,12277,12206,14631,16151,15604,17291,17375,16436,20237,27963,20062,20823,23768,21048,31942,34733,32188,27793,35669,34178,39540,40676,32068,23146,30519,25632,31179,30127,32049,48833,29809,30130,40040,34081,33194,34330,47467,38525,43628
"E-coupon services","Mobile shopping",74432,69089,77872,72727,83982,78868,76023,83577,83024,79602,104091,122247,85532,108408,115826,112090,137108,130958,139718,152998,168207,168555,199645,227077,204021,207168,223011,196829,240623,226359,246426,255313,242215,266483,323346,304522,272528,289779,301095,295630,296048
"Food services","Total",183355,173924,192095,196543,210565,195630,224624,253760,239118,242774,280640,339540,347457,324245,361763,365956,389395,413053,456927,496930,463750,502456,510496,630349,623920,616842,712110,687613,743966,775346,828720,914251,850015,907731,1020524,1051804,1063876,1135018,1251923,1263138,1320621
"Food services","Internet shopping",32810,28759,30493,30273,31139,25541,27301,34667,30106,32224,34430,40576,37792,35445,35896,47587,33475,38204,41490,43611,40102,41489,42091,52591,50247,46598,68185,46866,47660,49143,51793,55961,51431,56048,57917,63294,62513,63931,66117,72749,83201
"Food services","Mobile shopping",150546,145165,161602,166271,179426,170090,197324,219093,209012,210551,246210,298964,309665,288800,325867,318369,355920,374849,415437,453319,423648,460967,468405,577758,573673,570244,643925,640747,696306,726203,776927,858291,798583,851683,962607,988510,1001363,1071088,1185806,1190389,1237420
"Miscellaneous services","Total",65597,40733,35946,53217,43491,41104,52019,52619,124287,52464,56711,56692,73143,57680,61834,62168,58382,59336,62419,62096,133184,75523,75220,78190,80302,59239,63577,62386,75738,73099,84203,113270,159365,105421,118647,159202,157259,145624,64542,114569,89885
"Miscellaneous services","Internet shopping",41810,22608,19826,21513,18357,18198,24316,21923,92102,27007,31121,31087,42361,27138,32485,28747,29079,30702,30437,28968,95345,39959,42304,43518,46618,27781,27173,27623,32650,31068,32809,44484,101861,49458,64303,74961,71551,59394,27840,45952,35095
"Miscellaneous services","Mobile shopping",23788,18125,16120,31704,25133,22907,27703,30697,32185,25456,25590,25605,30782,30542,29349,33421,29302,28634,31983,33127,37839,35564,32916,34672,33684,31458,36403,34762,43088,42031,51394,68786,57503,55963,54344,84242,85708,86230,36702,68617,54789
"Others","Total",144492,141578,175648,163064,164517,180332,169045,179305,192273,171293,219066,273094,227959,224621,277245,221213,222905,200405,201779,202654,220440,241164,311896,313984,282020,267559,386739,250508,251465,208820,231253,258487,242332,259873,258443,267018,394715,380936,387031,318471,389398
"Others","Internet shopping",86780,80170,97661,90639,92076,99948,93311,103067,104940,96251,105278,133830,110089,91943,129620,102789,105807,95910,95215,95804,103602,111266,142644,145458,137929,132183,228817,126663,120807,92063,99074,165819,106586,113266,153315,158102,156143,162845,185529,136878,143985
"Others","Mobile shopping",57713,61409,77987,72425,72441,80383,75734,76238,87334,75041,113788,139263,117870,132678,147626,118425,117098,104495,106564,106850,116839,129898,169252,168526,144091,135376,157922,123845,130658,116756,132179,92668,135746,146607,105128,108916,238572,218091,201502,181594,245413
